,0,1,2,3,4,5,6,7,8,9
0,0,1000000,5,1000000,3,15,5,1000000,1000000,15
1,1000000,0,1000000,15,1000000,3,1000000,7,11,1000000
2,5,1000000,0,1000000,1000000,1000000,11,14,1000000,6
3,1000000,15,1000000,0,1000000,1000000,1000000,8,1000000,3
4,3,1000000,1000000,1000000,0,11,1000000,1000000,9,1000000
5,15,3,1000000,1000000,11,0,1000000,1000000,4,1000000
6,5,1000000,11,1000000,1000000,1000000,0,4,1000000,1000000
7,1000000,7,14,8,1000000,1000000,4,0,1000000,4
8,1000000,11,1000000,1000000,9,4,1000000,1000000,0,15
9,15,1000000,6,3,1000000,1000000,1000000,4,15,0
